Task,Original Instruction,Variant 1,Variant 2,Variant 3
MakeIceLemonade,"Grab a lemon wedge from the fridge and one ice cube from the ice bowl, and put them in the glass of lemonade.","Take a lemon wedge from the fridge and an ice cube from the bowl, then drop both into the lemonade glass.","Pick a lemon wedge out of the fridge, pick an ice cube from the bowl, and put them into the glass of lemonade.","First, take a lemon wedge from the refrigerator and put it in the cup. Then add one cube of ice from the bowl."
SeparateFreezerRack,Take the meat container that has the {meat_lang} and place it on the second highest rack of the freezer.  Then take the vegetable container that has the {veg_lang} and place it on the highest rack of the freezer.,"Place the {veg_lang} container on the uppermost rack of the freezer. Then, store the {meat_lang} container on the second-highest rack.",Arrange the freezer contents so that the {veg_lang} container is placed on top shelf and the {meat_lang} container sits on the shelf below.,"Set the container with {meat_lang} on the freezer’s second shelf from the top. Afterward, put the container holding {veg_lang} on the highest shelf."
PackIdenticalLunches,"f""Place one {veg_lang} and one {meat_lang} in each tupperware on the nearby counter, to pack two identical lunches.""",Arrange the food so that each lunch box on the counter holds exactly one {veg_lang} and one {meat_lang}.,Grab a {veg_lang} and a {meat_lang} from the fridge and drop them into the first container; then do the same for the second container so both lunches are identical.,Pack two identical lunches by ensuring that each tupperware has a {veg_lang} and a {meat_lang}.
GatherTableware,Gather all objects into one cabinet and sort the glasses and bowls to opposite sides,"Collect all the items into a single cabinet, then separate the glasses and bowls to different sides.","Place all objects inside a single cabinet, positioning the glasses to one end and the bowls to the other.","Put all objects inside one cupboard, with bowls on one side and glasses on the other side."
CategorizeCondiments,Put the shaker and condiment bottle from the counter next to their counterparts in the cabinet.,Take the shaker and the condiment bottle from the counter and place each beside its matching item inside the cabinet.,"Place the shaker on the counter by the shaker in the cupboard, and the condiment bottle on the counter by the condiment bottle in the cupboard.",Move the shaker and condiment bottle from the counter so that they sit right next to the corresponding items inside the cabinet.
KettleBoiling,Pick the kettle from the counter and place it on a stove burner. Then turn the burner on.,"Grab the kettle off the counter, set it onto a stove burner, and switch the burner on.","Take the kettle from the counter, move it to a stove burner, and turn the burner to on.","Pick up the kettle, set it down on a burner, and switch that burner on."
PrepareCoffee,"Pick the {obj_name} from the cabinet, place it under the coffee machine dispenser, and press the start button.","Grab the {obj_name} from the cabinet, put it beneath the coffee machine dispenser, and press start.","Retrieve the {obj_name}, set it beneath the dispenser of the coffee maker, and press the button to begin.","Get the {obj_name} out of the cabinet, move it to the coffee machine, and press the button to begin brewing."
CuttingToolSelection,Place the appropriate cutting tool for cutting the {cat} skin on the cutting board.,Select the right utensil for the peeling {cat} skin and set it down on the board.,Take the proper utensil for handling the {cat} skin and put it on the board.,Choose the correct tool for working with the {cat} skin and position it on the cutting board.
RinseSinkBasin,Turn on the sink and manuever the spout to wash all locations of the sink basin.,Switch on the sink and move the faucet back and forth to rinse every part of the basins.,Run the sink and sweep the spout across all basins to clean all spots.,Turn on the tap and shift the faucet side to side to rinse the whole sink.
SearingMeat,"f""Grab the pan from the cabinet and place it on the {self.knob.replace('_', ' ')} burner on the stove. ""
            f""Then place the {meat_name} on the stove and turn the burner on.""","Take the pan from the cabinet, set it on the {knob} burner, then put the {meat_name} in the pan and switch the burner on.","Grab the pan, put it on the {knob} stovetop burner, add the {meat_name}, and turn the heat on.","Retrieve the pan from storage, place it over the {knob} burner element, add the {meat_name}, and activate the burner."
GarnishPancake,"Take the strawberry from the fridge and place it on top of the pancake, located on the dining counter.",Take a strawberry from the fridge and lay it carefully on the pancake placed on the dining table.,"Retrieve the strawberry out of the refrigerator, then put it on top of the pancake on the counter.",Pick a strawberry out of the refrigerator and place it atop the pancake sitting on the dining table.
